                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  1.301,                 1.0664,                 1.5077,                0.81013,                0.83803,                0.83982,                0.50436,                 1.4354,                0.95131,                 1.7449,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.3509,                0.93176,                 1.5076,                0.84889,                    0.8,                0.82383,                0.50039,                 1.4231,                 0.9973,                 1.7241,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.2961,                 1.0312,                 1.5415,                0.71616,                0.86856,                0.82825,                0.53938,                 1.3605,                 1.0604,                 1.6743,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.2547,                0.96887,                 1.4673,                0.88341,                    0.8,                 0.8639,                0.52713,                 1.5132,                0.98457,                 1.7789,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.3252,                0.96756,                 1.4799,                0.91801,                    0.9,                0.93292,                0.56272,                 1.4842,                0.81487,                 1.7801,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.3306,                 0.9901,                 1.5584,                0.98329,                    0.9,                0.96643,                0.62924,                 1.4817,                0.66002,                 1.7736,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.3198,                0.94058,                 1.4985,                0.97667,                      1,                  0.995,                0.63386,                 1.4916,                 0.6168,                 1.7894,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.2319,                0.94978,                 1.4404,                0.97117,                      1,                  0.995,                0.62754,                 1.3316,                0.59632,                 1.6648,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.3165,                 1.0091,                 1.5584,                0.97657,                      1,                  0.995,                0.64632,                 1.3209,                0.59735,                 1.6489,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.2009,                 0.9019,                 1.4728,                0.98746,                0.99704,                  0.995,                0.64778,                 1.3155,                 0.6172,                 1.6764,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.2188,                0.95328,                 1.4515,                0.89875,                      1,                  0.995,                0.65099,                 1.3513,                0.60618,                 1.6991,             0.00044576,             0.00044576,             0.00044576
                     76,                  1.301,                0.92039,                 1.4867,                0.98438,                0.98357,                  0.995,                0.64582,                 1.3584,                0.62995,                 1.6883,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2575,                0.94377,                 1.5276,                0.95923,                      1,                  0.995,                0.63087,                 1.3653,                0.63697,                 1.6983,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.1516,                0.82357,                 1.3897,                0.95699,                      1,                  0.995,                0.59928,                 1.3265,                0.65116,                  1.668,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2409,                0.96097,                 1.4471,                0.93365,                    0.9,                0.97833,                0.58632,                 1.3761,                0.69774,                 1.6521,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.2071,                0.88774,                  1.453,                0.93996,                 0.8942,                0.97833,                0.60466,                 1.4068,                0.68119,                 1.6578,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.1862,                0.92871,                 1.5182,                0.93416,                0.89318,                0.96643,                0.54968,                 1.5137,                0.69573,                 1.7426,             0.00034674,             0.00034674,             0.00034674
